year,location,site,plot,col,row,block,cult,resis,seed_trt,yield_kg_ha,SCN_initial,SCN_45_dap,SCN_final
2022,NCARS,1,101,1,1,1,P27A26PR,Peking,ILeVO,5238.775,17760,14480,2040
2022,NCARS,1,102,1,2,1,P27A26PR,Peking,BASE,4983.225,4840,15560,5480
2022,NCARS,1,103,1,3,1,P28A83PR,PI88788,ILeVO,4996.675,21320,9920,10280
2022,NCARS,1,104,1,4,1,P28A83PR,PI88788,BASE,4552.825,22920,26960,6240
2022,NCARS,1,105,1,5,1,P30A46PR,PI88788,ILeVO,4949.6,30400,61680,16320
2022,NCARS,1,106,1,6,1,P30A46PR,PI88788,BASE,4398.15,24120,40120,7760
2022,NCARS,1,107,1,7,1,P34A59PR,Peking,ILeVO,5131.175,12640,20720,5080
2022,NCARS,1,108,1,8,1,P34A59PR,Peking,BASE,5097.55,18600,23720,12120
2022,NCARS,1,109,1,9,1,P34A65PR,PI88788,ILeVO,5225.325,16680,5960,5240
2022,NCARS,1,110,1,10,1,P34A65PR,PI88788,BASE,5857.475,22200,24760,7560
2022,NCARS,1,201,2,1,2,P28A83PR,PI88788,ILeVO,5561.575,9680,6960,4000
2022,NCARS,1,202,2,2,2,P28A83PR,PI88788,BASE,5359.825,15160,16440,5880
2022,NCARS,1,203,2,3,2,P34A65PR,PI88788,ILeVO,5944.9,11080,9320,8520
2022,NCARS,1,204,2,4,2,P34A65PR,PI88788,BASE,5460.7,21080,14160,19800
2022,NCARS,1,205,2,5,2,P27A26PR,Peking,BASE,4680.6,17480,20040,4680
2022,NCARS,1,206,2,6,2,P27A26PR,Peking,ILeVO,5232.05,13200,16280,8800
2022,NCARS,1,207,2,7,2,P34A59PR,Peking,BASE,5211.875,14440,24040,11280
2022,NCARS,1,208,2,8,2,P34A59PR,Peking,ILeVO,5420.35,17520,10000,12880
2022,NCARS,1,209,2,9,2,P30A46PR,PI88788,BASE,5628.825,6640,32760,11680
