"Model","Contrast","Reference","predicted.value","standard.error","lower.Confidence.limit","upper.Confidence.limit","Bt","Bt_lower_CI","Bt_upper_CI","Eff","Eff_lower_CI","Eff_upper_CI"
"baseline","Peking vs PI88788",0.872,-0.4,0.12,-0.64,-0.17,0.667,0.528,0.843,33.3,15.7,47.2
"ar1","Peking vs PI88788",0.865,-0.4,0.11,-0.62,-0.17,0.672,0.536,0.843,32.8,15.7,46.4
"ar1_nugget","Peking vs PI88788",0.868,-0.43,0.12,-0.66,-0.2,0.654,0.519,0.823,34.6,17.7,48.1
"ta","Peking vs PI88788",0.892,-0.38,0.11,-0.61,-0.15,0.682,0.544,0.856,31.8,14.4,45.6
"tps","Peking vs PI88788",0.889,-0.47,0.11,-0.69,-0.24,0.628,0.502,0.785,37.2,21.5,49.8
"baseline","Peking + Base vs PI88788 + Fluopyram",0.88,-0.44,0.16,-0.76,-0.11,0.646,0.468,0.893,35.4,10.7,53.2
"ar1","Peking + Base vs PI88788 + Fluopyram",0.876,-0.45,0.16,-0.76,-0.13,0.639,0.465,0.878,36.1,12.2,53.5
"ar1_nugget","Peking + Base vs PI88788 + Fluopyram",0.876,-0.45,0.16,-0.77,-0.14,0.637,0.465,0.873,36.3,12.7,53.5
"ta","Peking + Base vs PI88788 + Fluopyram",0.898,-0.41,0.16,-0.73,-0.09,0.663,0.481,0.913,33.7,8.7,51.9
"tps","Peking + Base vs PI88788 + Fluopyram",0.899,-0.48,0.15,-0.79,-0.18,0.617,0.455,0.837,38.3,16.3,54.5
