"Component","baseline","ar1","ar1_nugget","ta","tps"
"block","0.15 (0.10)","0.15 (0.10)","0.10 (0.11)","0.13 (0.12)","0.00 (0.02)"
"wp","0.03 (0.04)","0.00 (NA)","0.00 (NA)","0.00 (NA)","0.00 (NA)"
"units!R","0.20 (0.05)",NA,NA,NA,NA
"row_f:col_f!R",NA,"0.24 (0.05)","0.13 (0.12)","0.10 (0.12)","0.17 (0.04)"
"row_f:col_f!row_f!cor",NA,"0.17 (0.14)","0.86 (0.22)","0.90 (NA)",NA
"units!units",NA,NA,"0.17 (0.05)","0.18 (0.04)",NA
"grp(TP.R.1_fcol)",NA,NA,NA,NA,"0.00 (NA)"
"grp(TP.R.2_fcol)",NA,NA,NA,NA,"0.00 (NA)"
"grp(TP.C.1_frow)",NA,NA,NA,NA,"0.78 (0.76)"
"grp(TP.C.2_frow)",NA,NA,NA,NA,"0.26 (NA)"
"grp(TP_fcol_frow)",NA,NA,NA,NA,"0.38 (0.41)"
