"Component","baseline","scn_covariate","ar1","ar1_nugget","ta","tps"
"at(site, '1'):block","123633.7 (80357.8)","111613.1 (72481.6)","74914.0 (65645.2)","32339.0 (63003.4)","25349.1 (58485.0)","0.01 (NA)"
"at(site, '2'):block","204056.6 (115171.6)","139269.3 (80275.1)","125079.5 (79983.8)","0.04 (NA)","0.02 (NA)","2714.9 (12530.9)"
"at(site, '1'):wp","103357.7 (36453.3)","85935.2 (32857.8)","0.05 (NA)","15340.1 (25811.8)","17150.2 (27756.4)","49497.2 (24615.5)"
"at(site, '2'):wp","5261.3 (20616.8)","5302.6 (17906.5)","0.02 (NA)","0.01 (NA)","0.02 (NA)","5230.3 (14632.3)"
"site_1!R","54305.2 (13006.8)","60943.6 (14753.6)","160242.5 (46457.5)","165331.5 (101432.7)","132215.0 (87371.5)","62898.9 (15573.4)"
"site_2!R","125202.9 (25916.4)","104220.3 (22259.1)","128686.3 (26843.2)","180630.4 (112194.6)","79490.0 (52659.9)","68634.1 (15476.9)"
"site_1!row_f!cor",NA,NA,"0.54 (0.13)","0.84 (0.14)","0.80 (0.21)",NA
"site_2!row_f!cor",NA,NA,"0.40 (0.11)","0.95 (0.05)","0.92 (0.08)",NA
"at(site, '1'):units!units",NA,NA,NA,"43873.4 (21891.7)","45944.3 (25164.9)",NA
"at(site, '2'):units!units",NA,NA,NA,"64486.1 (14826.5)","67805.0 (15184.5)",NA
"at(site, '1'):grp(TP.R.1_fcol)",NA,NA,NA,NA,NA,"1789348.7 (NA)"
"at(site, '2'):grp(TP.R.1_fcol)",NA,NA,NA,NA,NA,"1181132.2 (1496311.3)"
"at(site, '1'):grp(TP.R.2_fcol)",NA,NA,NA,NA,NA,"0.00 (NA)"
"at(site, '2'):grp(TP.R.2_fcol)",NA,NA,NA,NA,NA,"646884.9 (1075145.2)"
"at(site, '1'):grp(TP.C.1_frow)",NA,NA,NA,NA,NA,"75179.5 (91558.5)"
"at(site, '2'):grp(TP.C.1_frow)",NA,NA,NA,NA,NA,"10403.4 (NA)"
"at(site, '1'):grp(TP.C.2_frow)",NA,NA,NA,NA,NA,"0.00 (NA)"
"at(site, '2'):grp(TP.C.2_frow)",NA,NA,NA,NA,NA,"19908.9 (NA)"
"at(site, '1'):grp(TP_fcol_frow)",NA,NA,NA,NA,NA,"0.00 (NA)"
"at(site, '2'):grp(TP_fcol_frow)",NA,NA,NA,NA,NA,"25738.1 (116304.8)"
